origin_date,scenario_id,location,horizon,target,type,type_id,value
2022-03-07,A-2022-03-05,US,1,inc death,quantile,0.01,11900
2022-03-07,A-2022-03-05,US,1,inc death,quantile,0.025,11960
2022-03-07,A-2022-03-05,US,1,inc death,quantile,0.05,11980
2022-03-07,A-2022-03-05,US,1,inc death,quantile,0.1,11990
2022-03-07,A-2022-03-05,US,1,inc death,quantile,0.15,11993.33333
2022-03-07,A-2022-03-05,US,1,inc death,quantile,0.2,11995
2022-03-07,A-2022-03-05,US,1,inc death,quantile,0.25,11996
2022-03-07,A-2022-03-05,US,1,inc death,quantile,0.3,11996.66667
2022-03-07,A-2022-03-05,US,1,inc death,quantile,0.35,11997.14286
2022-03-07,A-2022-03-05,US,1,inc death,quantile,0.4,11997.5
2022-03-07,A-2022-03-05,US,1,inc death,quantile,0.45,11997.77778
2022-03-07,A-2022-03-05,US,1,inc death,quantile,0.5,12000
2022-03-07,A-2022-03-05,US,1,inc death,quantile,0.55,18600
2022-03-07,A-2022-03-05,US,1,inc death,quantile,0.6,19200
2022-03-07,A-2022-03-05,US,1,inc death,quantile,0.65,19800
2022-03-07,A-2022-03-05,US,1,inc death,quantile,0.7,20400
2022-03-07,A-2022-03-05,US,1,inc death,quantile,0.75,21000
2022-03-07,A-2022-03-05,US,1,inc death,quantile,0.8,21600
2022-03-07,A-2022-03-05,US,1,inc death,quantile,0.85,22200
2022-03-07,A-2022-03-05,US,1,inc death,quantile,0.9,22800
2022-03-07,A-2022-03-05,US,1,inc death,quantile,0.95,23400
2022-03-07,A-2022-03-05,US,1,inc death,quantile,0.975,23700
2022-03-07,A-2022-03-05,US,1,inc death,quantile,0.99,23880
2022-03-07,A-2022-03-05,US,1,inc death,median,NA,12000
2022-03-07,B-2022-03-05,US,1,inc death,quantile,0.01,12500
2022-03-07,B-2022-03-05,US,1,inc death,quantile,0.025,12560
2022-03-07,B-2022-03-05,US,1,inc death,quantile,0.05,12580
2022-03-07,B-2022-03-05,US,1,inc death,quantile,0.1,12590
2022-03-07,B-2022-03-05,US,1,inc death,quantile,0.15,12593.33333
2022-03-07,B-2022-03-05,US,1,inc death,quantile,0.2,12595
2022-03-07,B-2022-03-05,US,1,inc death,quantile,0.25,12596
2022-03-07,B-2022-03-05,US,1,inc death,quantile,0.3,12596.66667
2022-03-07,B-2022-03-05,US,1,inc death,quantile,0.35,12597.14286
2022-03-07,B-2022-03-05,US,1,inc death,quantile,0.4,12597.5
2022-03-07,B-2022-03-05,US,1,inc death,quantile,0.45,12597.77778
2022-03-07,B-2022-03-05,US,1,inc death,quantile,0.5,12600
2022-03-07,B-2022-03-05,US,1,inc death,quantile,0.55,19530
2022-03-07,B-2022-03-05,US,1,inc death,quantile,0.6,20160
2022-03-07,B-2022-03-05,US,1,inc death,quantile,0.65,20790
2022-03-07,B-2022-03-05,US,1,inc death,quantile,0.7,21420
2022-03-07,B-2022-03-05,US,1,inc death,quantile,0.75,22050
2022-03-07,B-2022-03-05,US,1,inc death,quantile,0.8,22680
2022-03-07,B-2022-03-05,US,1,inc death,quantile,0.85,23310
2022-03-07,B-2022-03-05,US,1,inc death,quantile,0.9,23940
2022-03-07,B-2022-03-05,US,1,inc death,quantile,0.95,24570
2022-03-07,B-2022-03-05,US,1,inc death,quantile,0.975,24885
2022-03-07,B-2022-03-05,US,1,inc death,quantile,0.99,25074
2022-03-07,B-2022-03-05,US,1,inc death,median,NA,12600
2022-03-07,C-2022-03-05,US,1,inc death,quantile,0.01,13100
2022-03-07,C-2022-03-05,US,1,inc death,quantile,0.025,13160
2022-03-07,C-2022-03-05,US,1,inc death,quantile,0.05,13180
2022-03-07,C-2022-03-05,US,1,inc death,quantile,0.1,13190
2022-03-07,C-2022-03-05,US,1,inc death,quantile,0.15,13193.33333
2022-03-07,C-2022-03-05,US,1,inc death,quantile,0.2,13195
2022-03-07,C-2022-03-05,US,1,inc death,quantile,0.25,13196
2022-03-07,C-2022-03-05,US,1,inc death,quantile,0.3,13196.66667
2022-03-07,C-2022-03-05,US,1,inc death,quantile,0.35,13197.14286
2022-03-07,C-2022-03-05,US,1,inc death,quantile,0.4,13197.5
2022-03-07,C-2022-03-05,US,1,inc death,quantile,0.45,13197.77778
2022-03-07,C-2022-03-05,US,1,inc death,quantile,0.5,13200
2022-03-07,C-2022-03-05,US,1,inc death,quantile,0.55,20460
2022-03-07,C-2022-03-05,US,1,inc death,quantile,0.6,21120
2022-03-07,C-2022-03-05,US,1,inc death,quantile,0.65,21780
2022-03-07,C-2022-03-05,US,1,inc death,quantile,0.7,22440
2022-03-07,C-2022-03-05,US,1,inc death,quantile,0.75,23100
2022-03-07,C-2022-03-05,US,1,inc death,quantile,0.8,23760
2022-03-07,C-2022-03-05,US,1,inc death,quantile,0.85,24420
2022-03-07,C-2022-03-05,US,1,inc death,quantile,0.9,25080
2022-03-07,C-2022-03-05,US,1,inc death,quantile,0.95,25740
2022-03-07,C-2022-03-05,US,1,inc death,quantile,0.975,26070
2022-03-07,C-2022-03-05,US,1,inc death,quantile,0.99,26268
2022-03-07,C-2022-03-05,US,1,inc death,median,NA,13200
2022-03-07,D-2022-03-05,US,1,inc death,quantile,0.01,13700
