origin_date,scenario_id,age_group,location,target_variables,sample,value
2022-05-22,A-2022-05-22,0-15,IE,inc case,1,62746
2022-05-22,A-2022-05-22,0-15,IE,inc case,2,15351
2022-05-22,A-2022-05-22,0-15,IE,inc case,3,38004
2022-05-22,A-2022-05-22,0-15,IE,inc case,4,36774
2022-05-22,A-2022-05-22,0-15,IE,inc case,5,24252
2022-05-22,A-2022-05-22,0-15,IE,inc case,6,56148
2022-05-22,A-2022-05-22,0-15,IE,inc case,7,77251
2022-05-22,A-2022-05-22,0-15,IE,inc case,8,72558
2022-05-22,A-2022-05-22,0-15,IE,inc case,9,98729
2022-05-22,A-2022-05-22,0-15,IE,inc case,10,56376
2022-05-22,A-2022-05-22,0-15,IE,inc case,11,6792
2022-05-22,A-2022-05-22,0-15,IE,inc case,12,36814
2022-05-22,A-2022-05-22,0-15,IE,inc case,13,5050
2022-05-22,A-2022-05-22,0-15,IE,inc case,14,64726
2022-05-22,A-2022-05-22,0-15,IE,inc case,15,31202
2022-05-22,A-2022-05-22,0-15,IE,inc case,16,84314
2022-05-22,A-2022-05-22,0-15,IE,inc case,17,63360
2022-05-22,A-2022-05-22,0-15,IE,inc case,18,26952
2022-05-22,A-2022-05-22,0-15,IE,inc case,19,44324
2022-05-22,A-2022-05-22,0-15,IE,inc case,20,22299
2022-05-22,A-2022-05-22,0-15,IE,inc case,21,33734
2022-05-22,A-2022-05-22,0-15,IE,inc case,22,65553
2022-05-22,A-2022-05-22,0-15,IE,inc case,23,39089
2022-05-22,A-2022-05-22,0-15,IE,inc case,24,58007
2022-05-22,A-2022-05-22,0-15,IE,inc case,25,7560
2022-05-22,A-2022-05-22,0-15,IE,inc case,26,10677
2022-05-22,A-2022-05-22,0-15,IE,inc case,27,17913
2022-05-22,A-2022-05-22,0-15,IE,inc case,28,87415
2022-05-22,A-2022-05-22,0-15,IE,inc case,29,44725
2022-05-22,A-2022-05-22,0-15,IE,inc case,30,36486
2022-05-22,A-2022-05-22,0-15,IE,inc case,31,59501
2022-05-22,A-2022-05-22,0-15,IE,inc case,32,6021
2022-05-22,A-2022-05-22,0-15,IE,inc case,33,41937
2022-05-22,A-2022-05-22,0-15,IE,inc case,34,89010
2022-05-22,A-2022-05-22,0-15,IE,inc case,35,12506
2022-05-22,A-2022-05-22,0-15,IE,inc case,36,46664
2022-05-22,A-2022-05-22,0-15,IE,inc case,37,50692
2022-05-22,A-2022-05-22,0-15,IE,inc case,38,13585
2022-05-22,A-2022-05-22,0-15,IE,inc case,39,31047
2022-05-22,A-2022-05-22,0-15,IE,inc case,40,27791
2022-05-22,A-2022-05-22,0-15,IE,inc case,41,72996
2022-05-22,A-2022-05-22,0-15,IE,inc case,42,4342
2022-05-22,A-2022-05-22,0-15,IE,inc case,43,4668
2022-05-22,A-2022-05-22,0-15,IE,inc case,44,35190
2022-05-22,A-2022-05-22,0-15,IE,inc case,45,40912
2022-05-22,A-2022-05-22,0-15,IE,inc case,46,51622
2022-05-22,A-2022-05-22,0-15,IE,inc case,47,65179
2022-05-22,A-2022-05-22,0-15,IE,inc case,48,57879
2022-05-22,A-2022-05-22,0-15,IE,inc case,49,58248
2022-05-22,A-2022-05-22,0-15,IE,inc case,50,50944
2022-05-22,A-2022-05-22,0-15,IE,inc case,51,63142
2022-05-22,A-2022-05-22,0-15,IE,inc case,52,49388
2022-05-22,A-2022-05-22,0-15,IE,inc case,53,39615
2022-05-22,A-2022-05-22,0-15,IE,inc case,54,21156
2022-05-22,A-2022-05-22,0-15,IE,inc case,55,77645
2022-05-22,A-2022-05-22,0-15,IE,inc case,56,64778
2022-05-22,A-2022-05-22,0-15,IE,inc case,57,37725
2022-05-22,A-2022-05-22,0-15,IE,inc case,58,76431
2022-05-22,A-2022-05-22,0-15,IE,inc case,59,47133
2022-05-22,A-2022-05-22,0-15,IE,inc case,60,1272
2022-05-22,A-2022-05-22,0-15,IE,inc case,61,92109
2022-05-22,A-2022-05-22,0-15,IE,inc case,62,51278
2022-05-22,A-2022-05-22,0-15,IE,inc case,63,72464
2022-05-22,A-2022-05-22,0-15,IE,inc case,64,90951
2022-05-22,A-2022-05-22,0-15,IE,inc case,65,13752
2022-05-22,A-2022-05-22,0-15,IE,inc case,66,48344
2022-05-22,A-2022-05-22,0-15,IE,inc case,67,7192
2022-05-22,A-2022-05-22,0-15,IE,inc case,68,85558
2022-05-22,A-2022-05-22,0-15,IE,inc case,69,8869
2022-05-22,A-2022-05-22,0-15,IE,inc case,70,9982
2022-05-22,A-2022-05-22,0-15,IE,inc case,71,3981
2022-05-22,A-2022-05-22,0-15,IE,inc case,72,38284
2022-05-22,A-2022-05-22,0-15,IE,inc case,73,19869
2022-05-22,A-2022-05-22,0-15,IE,inc case,74,78465
2022-05-22,A-2022-05-22,0-15,IE,inc case,75,6806
2022-05-22,A-2022-05-22,0-15,IE,inc case,76,17581
2022-05-22,A-2022-05-22,0-15,IE,inc case,77,15594
2022-05-22,A-2022-05-22,0-15,IE,inc case,78,99998
2022-05-22,A-2022-05-22,0-15,IE,inc case,79,30440
2022-05-22,A-2022-05-22,0-15,IE,inc case,80,87613
2022-05-22,A-2022-05-22,0-15,IE,inc case,81,97216
2022-05-22,A-2022-05-22,0-15,IE,inc case,82,32809
